feature,Bin,WoE,Event rate,Count (%),Feature IV,feature_coeff_model,score_points,rare_categories,feature_type
AMT_GOODS_PRICE,"(40499.999, 450000.0]",-0.172289,0.09447384264393675,0.5131377841371012,0.1026688648986372,-0.4757357872982412,-2.3649823690147205,,numerical
AMT_GOODS_PRICE,"(450000.0, 675000.0]",0.047508,0.07727289198101243,0.22435855744528632,0.1026688648986372,-0.4757357872982412,0.6521343927189277,,numerical
AMT_GOODS_PRICE,"(675000.0, 900000.0]",0.269344,0.06286568716681835,0.1250528438099574,0.1026688648986372,-0.4757357872982412,3.6972401673925837,,numerical
AMT_GOODS_PRICE,"(900000.0, 4050000.0]",0.488179,0.05114160688238621,0.13655246983837924,0.1026688648986372,-0.4757357872982412,6.701151715566502,,numerical
AMT_GOODS_PRICE,SPECIAL_-99999,0.052424656208098164,0.07692307692307693,0.0008983447692757959,0.1026688648986372,-0.4757357872982412,0.7196245124982457,,numerical
REGION_RATING_CLIENT_W_CITY,1,0.5401663351895767,0.048676938842733226,0.1110654938050795,0.0515715290951491,-0.4311008038527796,6.719096545305723,,numerical
REGION_RATING_CLIENT_W_CITY,2,0.023166327966114383,0.0790264783086994,0.7464066209228968,0.0515715290951491,-0.4311008038527796,0.28816455981083905,,numerical
REGION_RATING_CLIENT_W_CITY,3,-0.38810955605507386,0.11462225137609446,0.14252788527202367,0.0515715290951491,-0.4311008038527796,-4.827671417869035,,numerical
EXT_SOURCE_1,"(0.013600000000000001, 0.262]",-0.743845,0.1559551886792453,0.06894084745211537,0.156079739196619,-0.1485216247318045,-3.1876943612288056,,numerical
EXT_SOURCE_1,"(0.262, 0.379]",-0.178287,0.09498820754716981,0.06894084745211537,0.156079739196619,-0.1485216247318045,-0.7640361427184428,,numerical
EXT_SOURCE_1,"(0.379, 0.487]",0.066303,0.07594339622641509,0.06894084745211537,0.156079739196619,-0.1485216247318045,0.2841367478877367,,numerical
EXT_SOURCE_1,"(0.487, 0.594]",0.330189,0.059375,0.06894084745211537,0.156079739196619,-0.1485216247318045,1.4150012616066225,,numerical
EXT_SOURCE_1,"(0.594, 0.703]",0.561394,0.04770328439176838,0.06893678254365712,0.156079739196619,-0.1485216247318045,2.4058136953635287,,numerical
EXT_SOURCE_1,"(0.703, 0.952]",1.033664,0.030290970195454143,0.091923839875126,0.156079739196619,-0.1485216247318045,4.429692885218307,,numerical
EXT_SOURCE_1,SPECIAL_-99999,-0.059398603362752926,0.08524838558389553,0.5633759877727553,0.156079739196619,-0.1485216247318045,-0.25454845163214634,,numerical
EXT_SOURCE_3,"(-0.000473, 0.291]",-0.884846,0.17542791204564395,0.1268170140808429,0.3368972639841083,-0.0896932586805095,-2.289981793081835,,numerical
EXT_SOURCE_3,"(0.291, 0.419]",-0.257329,0.10200405314118442,0.12636580924197588,0.3368972639841083,-0.0896932586805095,-0.6659675523559528,,numerical
EXT_SOURCE_3,"(0.419, 0.52]",0.124434,0.0719632473415363,0.12652840558030634,0.3368972639841083,-0.0896932586805095,0.3220352405281202,,numerical
EXT_SOURCE_3,"(0.52, 0.608]",0.428981,0.05409180369500349,0.1280527462521544,0.3368972639841083,-0.0896932586805095,1.1102029952986607,,numerical
EXT_SOURCE_3,"(0.608, 0.688]",0.665028,0.043210076940557736,0.1252113752398296,0.3368972639841083,-0.0896932586805095,1.7210927233548285,,numerical
EXT_SOURCE_3,"(0.688, 0.896]",0.912506,0.034059682784553826,0.16863679229943743,0.3368972639841083,-0.0896932586805095,2.361565883868982,,numerical
EXT_SOURCE_3,SPECIAL_-99999,-0.15229697961303548,0.09277737936686815,0.19838785730545347,0.3368972639841083,-0.0896932586805095,-0.3941446426329629,,numerical
YEARS_EMPLOYED,"(-0.001, 2.1]",-0.36846,0.11264322402212565,0.20576566615719813,0.1144350509211557,-0.4075753761884778,-4.333140992915543,,numerical
YEARS_EMPLOYED,"(2.1, 5.12]",-0.224733,0.0990567598874731,0.24564241813274365,0.1144350509211557,-0.4075753761884778,-2.6428914258288247,,numerical
YEARS_EMPLOYED,"(5.12, 6.73]",0.01469,0.07964557964557964,0.08211928067379923,0.1144350509211557,-0.4075753761884778,0.17275644896577463,,numerical
YEARS_EMPLOYED,"(6.73, 12.0]",0.190672,0.0676630232731058,0.16400686156547756,0.1144350509211557,-0.4075753761884778,2.2423293149899375,,numerical
YEARS_EMPLOYED,"(12.0, 49.07]",0.547508,0.04833806912046521,0.12302851939774316,0.1144350509211557,-0.4075753761884778,6.438770446586341,,numerical
YEARS_EMPLOYED,SPECIAL_-99999,0.4368782490848073,0.0536891466370659,0.1794372540730383,0.1144350509211557,-0.4075753761884778,5.137749145151566,,numerical
GOODS_CREDIT_RATIO,"(0.166, 0.783]",-0.4874,0.12509064539521392,0.10089915775096744,0.0765273648506301,-0.393181139800617,-5.529460204512725,,numerical
GOODS_CREDIT_RATIO,"(0.783, 0.835]",-0.225282,0.09910574935673008,0.1927335696400117,0.0765273648506301,-0.393181139800617,-2.5557813988367584,,numerical
GOODS_CREDIT_RATIO,"(0.835, 0.873]",-0.074442,0.08642880715778666,0.1108541185652499,0.0765273648506301,-0.393181139800617,-0.844530317079065,,numerical
GOODS_CREDIT_RATIO,"(0.873, 0.904]",0.140618,0.0708898534997287,0.14983252577151962,0.0765273648506301,-0.393181139800617,1.5952844379117161,,numerical
GOODS_CREDIT_RATIO,"(0.904, 6.667]",0.240207,0.06460427709742278,0.4447822835029755,0.0765273648506301,-0.393181139800617,2.725102682284342,,numerical
GOODS_CREDIT_RATIO,SPECIAL_-88888,0.052424656208098164,0.07692307692307693,0.0008983447692757959,0.0765273648506301,-0.393181139800617,0.5947477436149771,,numerical
